State,Nutrient,Application,Code,Total
MN,Phosphorus,UnconfinedLivestock,UCL,14560320
MO,Nitrogen,Atmospheric,A,84434736
MO,Nitrogen,ConfinedLivestock,CL,70103211
MO,Nitrogen,FarmFertilizer,FF,322533745
MO,Nitrogen,NonfarmFertilizer,NFF,2919360
MO,Nitrogen,UnconfinedLivestock,UCL,159279366
MO,Phosphorus,ConfinedLivestock,CL,20984556
MO,Phosphorus,FarmFertilizer,FF,58830513
MO,Phosphorus,NonfarmFertilizer,NFF,537505
MO,Phosphorus,UnconfinedLivestock,UCL,50703392
MS,Nitrogen,Atmospheric,A,52925028
MS,Nitrogen,ConfinedLivestock,CL,32763965
MS,Nitrogen,FarmFertilizer,FF,142136847
MS,Nitrogen,NonfarmFertilizer,NFF,1037081
MS,Nitrogen,UnconfinedLivestock,UCL,45636639
MS,Phosphorus,ConfinedLivestock,CL,9450198
MS,Phosphorus,FarmFertilizer,FF,15303635
MS,Phosphorus,NonfarmFertilizer,NFF,134776
MS,Phosphorus,UnconfinedLivestock,UCL,14041502
MT,Nitrogen,Atmospheric,A,30277164
MT,Nitrogen,ConfinedLivestock,CL,8998938
MT,Nitrogen,FarmFertilizer,FF,91418795
MT,Nitrogen,NonfarmFertilizer,NFF,485907
MT,Nitrogen,UnconfinedLivestock,UCL,121689582
MT,Phosphorus,ConfinedLivestock,CL,2395721
MT,Phosphorus,FarmFertilizer,FF,23538939
MT,Phosphorus,NonfarmFertilizer,NFF,46997
MT,Phosphorus,UnconfinedLivestock,UCL,37305339
NC,Nitrogen,Atmospheric,A,51287565
NC,Nitrogen,ConfinedLivestock,CL,79316364
NC,Nitrogen,FarmFertilizer,FF,173913747
NC,Nitrogen,NonfarmFertilizer,NFF,4230849
NC,Nitrogen,UnconfinedLivestock,UCL,30018806
NC,Phosphorus,ConfinedLivestock,CL,27203113
NC,Phosphorus,FarmFertilizer,FF,35231320
NC,Phosphorus,NonfarmFertilizer,NFF,917934
NC,Phosphorus,UnconfinedLivestock,UCL,9254406
ND,Nitrogen,Atmospheric,A,41552984
ND,Nitrogen,ConfinedLivestock,CL,13692359
ND,Nitrogen,FarmFertilizer,FF,290675164
ND,Nitrogen,NonfarmFertilizer,NFF,908779
ND,Nitrogen,UnconfinedLivestock,UCL,79633733
ND,Phosphorus,ConfinedLivestock,CL,3169562
ND,Phosphorus,FarmFertilizer,FF,54763616
ND,Phosphorus,NonfarmFertilizer,NFF,293281
ND,Phosphorus,UnconfinedLivestock,UCL,24860671
NE,Nitrogen,Atmospheric,A,72366472
NE,Nitrogen,ConfinedLivestock,CL,123745600
NE,Nitrogen,FarmFertilizer,FF,612786210
NE,Nitrogen,NonfarmFertilizer,NFF,1992276
NE,Nitrogen,UnconfinedLivestock,UCL,166441145
NE,Phosphorus,ConfinedLivestock,CL,37817792
NE,Phosphorus,FarmFertilizer,FF,50998168
NE,Phosphorus,NonfarmFertilizer,NFF,191372
NE,Phosphorus,UnconfinedLivestock,UCL,52786501
NH,Nitrogen,Atmospheric,A,8839127
NH,Nitrogen,ConfinedLivestock,CL,2262701
NH,Nitrogen,FarmFertilizer,FF,1795949
NH,Nitrogen,NonfarmFertilizer,NFF,267131
NH,Nitrogen,UnconfinedLivestock,UCL,1081710
NH,Phosphorus,ConfinedLivestock,CL,412579
NH,Phosphorus,FarmFertilizer,FF,485675
NH,Phosphorus,NonfarmFertilizer,NFF,42550
NH,Phosphorus,UnconfinedLivestock,UCL,231893
NJ,Nitrogen,Atmospheric,A,13254759
NJ,Nitrogen,ConfinedLivestock,CL,4087116
NJ,Nitrogen,FarmFertilizer,FF,20083733
NJ,Nitrogen,NonfarmFertilizer,NFF,1103098
NJ,Nitrogen,UnconfinedLivestock,UCL,2070161
NJ,Phosphorus,ConfinedLivestock,CL,882792
NJ,Phosphorus,FarmFertilizer,FF,5383867
NJ,Phosphorus,NonfarmFertilizer,NFF,213169
NJ,Phosphorus,UnconfinedLivestock,UCL,501369
NM,Nitrogen,Atmospheric,A,41623819
NM,Nitrogen,ConfinedLivestock,CL,14084463
NM,Nitrogen,FarmFertilizer,FF,27305387
NM,Nitrogen,NonfarmFertilizer,NFF,298178
NM,Nitrogen,UnconfinedLivestock,UCL,57272134
NM,Phosphorus,ConfinedLivestock,CL,3369983
NM,Phosphorus,FarmFertilizer,FF,3669915
NM,Phosphorus,NonfarmFertilizer,NFF,42099
NM,Phosphorus,UnconfinedLivestock,UCL,17040709
NV,Nitrogen,Atmospheric,A,24570632
NV,Nitrogen,ConfinedLivestock,CL,4000442
NV,Nitrogen,FarmFertilizer,FF,4778766
NV,Nitrogen,NonfarmFertilizer,NFF,174123
NV,Nitrogen,UnconfinedLivestock,UCL,24505262
NV,Phosphorus,ConfinedLivestock,CL,1004907
NV,Phosphorus,FarmFertilizer,FF,2521554
NV,Phosphorus,NonfarmFertilizer,NFF,36954
NV,Phosphorus,UnconfinedLivestock,UCL,7607583
NY,Nitrogen,Atmospheric,A,78072500
NY,Nitrogen,ConfinedLivestock,CL,66711667
NY,Nitrogen,FarmFertilizer,FF,75581425
NY,Nitrogen,NonfarmFertilizer,NFF,3166239
NY,Nitrogen,UnconfinedLivestock,UCL,28335166
NY,Phosphorus,ConfinedLivestock,CL,11585435
NY,Phosphorus,FarmFertilizer,FF,25490295
NY,Phosphorus,NonfarmFertilizer,NFF,796291
NY,Phosphorus,UnconfinedLivestock,UCL,5848619
OH,Nitrogen,Atmospheric,A,56020638
OH,Nitrogen,ConfinedLivestock,CL,66488e3
OH,Nitrogen,FarmFertilizer,FF,355417105
OH,Nitrogen,NonfarmFertilizer,NFF,2232946
OH,Nitrogen,UnconfinedLivestock,UCL,38656920
OH,Phosphorus,ConfinedLivestock,CL,18461043
OH,Phosphorus,FarmFertilizer,FF,69822465
OH,Phosphorus,NonfarmFertilizer,NFF,948785
OH,Phosphorus,UnconfinedLivestock,UCL,11631431
OK,Nitrogen,Atmospheric,A,78299095
OK,Nitrogen,ConfinedLivestock,CL,35757965
OK,Nitrogen,FarmFertilizer,FF,246811322
OK,Nitrogen,NonfarmFertilizer,NFF,1943153
OK,Nitrogen,UnconfinedLivestock,UCL,176810247
OK,Phosphorus,ConfinedLivestock,CL,9973732
OK,Phosphorus,FarmFertilizer,FF,36994204
OK,Phosphorus,NonfarmFertilizer,NFF,691387
OK,Phosphorus,UnconfinedLivestock,UCL,53872527
OR,Nitrogen,Atmospheric,A,16356185
OR,Nitrogen,ConfinedLivestock,CL,17400006
OR,Nitrogen,FarmFertilizer,FF,114461079
OR,Nitrogen,NonfarmFertilizer,NFF,788893
OR,Nitrogen,UnconfinedLivestock,UCL,61407842
OR,Phosphorus,ConfinedLivestock,CL,4385951
OR,Phosphorus,FarmFertilizer,FF,13511503
OR,Phosphorus,NonfarmFertilizer,NFF,124987
OR,Phosphorus,UnconfinedLivestock,UCL,17945990
PA,Nitrogen,Atmospheric,A,78796388
PA,Nitrogen,ConfinedLivestock,CL,87730434
PA,Nitrogen,FarmFertilizer,FF,66935998
PA,Nitrogen,NonfarmFertilizer,NFF,2484197
PA,Nitrogen,UnconfinedLivestock,UCL,37588327
PA,Phosphorus,ConfinedLivestock,CL,21511335
PA,Phosphorus,FarmFertilizer,FF,21145927
PA,Phosphorus,NonfarmFertilizer,NFF,635913
PA,Phosphorus,UnconfinedLivestock,UCL,9360890
RI,Nitrogen,Atmospheric,A,946997
RI,Nitrogen,ConfinedLivestock,CL,384149
RI,Nitrogen,FarmFertilizer,FF,1440505
RI,Nitrogen,NonfarmFertilizer,NFF,25714
RI,Nitrogen,UnconfinedLivestock,UCL,167767
RI,Phosphorus,ConfinedLivestock,CL,91936
RI,Phosphorus,FarmFertilizer,FF,285988
RI,Phosphorus,NonfarmFertilizer,NFF,12293
RI,Phosphorus,UnconfinedLivestock,UCL,42127
SC,Nitrogen,Atmospheric,A,25536801
SC,Nitrogen,ConfinedLivestock,CL,14866025
SC,Nitrogen,FarmFertilizer,FF,63998899
SC,Nitrogen,NonfarmFertilizer,NFF,1782480
SC,Nitrogen,UnconfinedLivestock,UCL,17799621
SC,Phosphorus,ConfinedLivestock,CL,4618926
SC,Phosphorus,FarmFertilizer,FF,11584841
SC,Phosphorus,NonfarmFertilizer,NFF,299333
SC,Phosphorus,UnconfinedLivestock,UCL,5571877
SD,Nitrogen,Atmospheric,A,52306950
SD,Nitrogen,ConfinedLivestock,CL,56120424
SD,Nitrogen,FarmFertilizer,FF,164057825
SD,Nitrogen,NonfarmFertilizer,NFF,815953
SD,Nitrogen,UnconfinedLivestock,UCL,132164351
SD,Phosphorus,ConfinedLivestock,CL,16197588
SD,Phosphorus,FarmFertilizer,FF,26574322
SD,Phosphorus,NonfarmFertilizer,NFF,82503
SD,Phosphorus,UnconfinedLivestock,UCL,41529074
TN,Nitrogen,Atmospheric,A,40185709
TN,Nitrogen,ConfinedLivestock,CL,30464379
TN,Nitrogen,FarmFertilizer,FF,139764788
TN,Nitrogen,NonfarmFertilizer,NFF,1469396
TN,Nitrogen,UnconfinedLivestock,UCL,81285524
TN,Phosphorus,ConfinedLivestock,CL,8094964
TN,Phosphorus,FarmFertilizer,FF,42197482
TN,Phosphorus,NonfarmFertilizer,NFF,382846
TN,Phosphorus,UnconfinedLivestock,UCL,25134065
TX,Nitrogen,Atmospheric,A,195596833
TX,Nitrogen,ConfinedLivestock,CL,176725988
TX,Nitrogen,FarmFertilizer,FF,678030389
TX,Nitrogen,NonfarmFertilizer,NFF,3800212
TX,Nitrogen,UnconfinedLivestock,UCL,458760726
TX,Phosphorus,ConfinedLivestock,CL,48910717
TX,Phosphorus,FarmFertilizer,FF,82336853
TX,Phosphorus,NonfarmFertilizer,NFF,824029
TX,Phosphorus,UnconfinedLivestock,UCL,135925784
UT,Nitrogen,Atmospheric,A,30111878
UT,Nitrogen,ConfinedLivestock,CL,14496071
UT,Nitrogen,FarmFertilizer,FF,27084509
UT,Nitrogen,NonfarmFertilizer,NFF,209512
UT,Nitrogen,UnconfinedLivestock,UCL,33737708
UT,Phosphorus,ConfinedLivestock,CL,3347438
UT,Phosphorus,FarmFertilizer,FF,4733042
UT,Phosphorus,NonfarmFertilizer,NFF,23623
UT,Phosphorus,UnconfinedLivestock,UCL,9703431
VA,Nitrogen,Atmospheric,A,39991135
VA,Nitrogen,ConfinedLivestock,CL,36672270
VA,Nitrogen,FarmFertilizer,FF,69050726
VA,Nitrogen,NonfarmFertilizer,NFF,3040015
VA,Nitrogen,UnconfinedLivestock,UCL,54420282
VA,Phosphorus,ConfinedLivestock,CL,10232815
VA,Phosphorus,FarmFertilizer,FF,20338222
VA,Phosphorus,NonfarmFertilizer,NFF,768614
VA,Phosphorus,UnconfinedLivestock,UCL,15989303
VT,Nitrogen,Atmospheric,A,12881038
VT,Nitrogen,ConfinedLivestock,CL,15482347
VT,Nitrogen,FarmFertilizer,FF,4422032
VT,Nitrogen,NonfarmFertilizer,NFF,113575
VT,Nitrogen,UnconfinedLivestock,UCL,3550237
VT,Phosphorus,ConfinedLivestock,CL,2562266
